;bond_length_average;bond_length_variance;bond_length_variance_variance;k_values;length_values
152;0.795663899176;0.00138545237091;6.38574580305e-10;440.0;0.79
153;1.17259657837;0.00131323635858;5.25744858846e-10;460.0;1.17
154;1.11357782943;0.00162049384303;8.39996409761e-10;380.0;1.11
155;1.24254197319;0.00115009274603;4.715924049e-10;520.0;1.24
156;1.35126037155;0.00062658936101;1.34186593424e-10;980.0;1.35
157;0.942823473082;0.00100681263218;3.41706905167e-10;640.0;0.94
158;1.24173378394;0.000713207346464;1.67131001594e-10;920.0;1.24
159;0.895118993505;0.00156551736883;8.01262933789e-10;380.0;0.89
160;0.817564394387;0.00158882129523;7.60622988196e-10;380.0;0.81
161;0.945731827639;0.00133147936584;5.54409968189e-10;460.0;0.94
162;0.942449962689;0.000846335177824;2.54082816558e-10;720.0;0.94
163;0.835914639751;0.00156140910599;7.3181807258e-10;380.0;0.83
164;0.853245241408;0.000858087592654;1.77783909201e-10;740.0;0.85
165;1.39188200624;0.000843588284433;2.12257998373e-10;760.0;1.39
166;0.832458545486;0.00063939134593;1.3072949145e-10;980.0;0.83
167;0.991839973412;0.000682314069558;1.54855873988e-10;900.0;0.99
168;1.17169872222;0.000822291996387;2.29945884876e-10;760.0;1.17
169;1.09479258952;0.00160396183751;9.67467180473e-10;380.0;1.09
170;1.09455946438;0.00159496372161;6.8396371008e-10;380.0;1.09
171;1.24397755718;0.00149708863951;7.22413054314e-10;400.0;1.24
172;1.09381538368;0.00145622875693;7.10119578681e-10;420.0;1.09
173;0.892560275143;0.000648925083229;1.35596717897e-10;980.0;0.89
174;1.0934529302;0.0012445972839;4.13567759117e-10;480.0;1.09
175;1.24141147798;0.000698119617943;1.49231518321e-10;900.0;1.24
176;0.792956279007;0.000625190803501;1.17167634125e-10;980.0;0.79
177;1.09282080689;0.00112435279823;4.01670887356e-10;540.0;1.09
178;1.39151893004;0.00110016448618;4.19294448922e-10;580.0;1.39
179;1.37189740233;0.000667253368356;1.41187266559e-10;980.0;1.37
180;1.21185982206;0.000787622298864;2.24597247729e-10;800.0;1.21
181;1.07360503127;0.0015630194865;8.93119956866e-10;380.0;1.07
182;1.25234270272;0.00114477137178;4.35513995204e-10;540.0;1.25
183;1.03147024651;0.00063426585709;1.24107762786e-10;980.0;1.03
184;1.39168909697;0.000899463530068;2.3168671457e-10;700.0;1.39
185;1.39304726054;0.00131758866845;5.04334474242e-10;460.0;1.39
186;0.79419443314;0.00103150855745;3.07277238741e-10;600.0;0.79
187;1.09192575522;0.000782450378346;1.70640464508e-10;820.0;1.09
188;1.09387845687;0.00133771426464;4.68778886637e-10;460.0;1.09
189;1.09357432486;0.00121511318876;3.83627826466e-10;500.0;1.09
190;1.09235536477;0.000880047916286;2.55152252873e-10;700.0;1.09
191;0.942646476384;0.000811745446855;1.94977176309e-10;760.0;0.94
192;1.1323844376;0.000858915323899;1.93662328347e-10;720.0;1.13
193;0.952225575296;0.000651093136861;1.15496813842e-10;980.0;0.95
194;0.812391746136;0.000642070727255;1.28134279548e-10;980.0;0.81
195;1.39187933154;0.000803423499996;1.86704030806e-10;780.0;1.39
196;1.09157106977;0.00102903716798;3.24615959815e-10;620.0;1.09
197;0.793080506242;0.000677681364818;1.31710946315e-10;900.0;0.79
198;1.05202062809;0.000936553954285;2.24491962789e-10;660.0;1.05
199;1.24128518706;0.000691948848299;1.31057805491e-10;940.0;1.24
