	InChI_keys	SMILES_strings	Molecular_formulas	AlkEthOH_ID
116	AJFSFIHDEHQKQK-RQJHMYQMSA-N	CCC[C@@H](C)O[C@@H](C)O	C7H16O2	AlkEthOH_c1094
117	QPEBVOWUCSLIHQ-NSHDSACASA-N	C[C@]1(CCCCCCC(O1)(C)C)O	C11H22O2	AlkEthOH_r367
118	NKWBJSCQUANYBD-RITPCOANSA-N	C[C@H](C[C@@H](C(C)(C)O)O)O	C7H16O3	AlkEthOH_c596
119	NDVWOBYBJYUSMF-RNFRBKRXSA-N	C[C@@H]1CCCC[C@H]1O	C7H14O	AlkEthOH_r875
120	NZQGKDDDVJEAMH-YFKPBYRVSA-N	CC(C)(O)O[C@@H](CCO)O	C6H14O4	AlkEthOH_c248
121	GXUJDYMPBFEACY-PHDIDXHHSA-N	C1COC[C@H]([C@@H](OC1)O)O	C6H12O4	AlkEthOH_r133
122	WFRBDWRZVBPBDO-UHFFFAOYSA-N	CCCC(C)(C)O	C6H14O	AlkEthOH_c1039
123	RUOPINZRYMFPBF-RXMQYKEDSA-N	CC[C@H](CCO)O	C5H12O2	AlkEthOH_c995
124	BIAAEVYMOVFZDJ-SYDPRGILSA-N	CC1CC(C1)O	C5H10O	AlkEthOH_r774
125	JGQJZORKJAZVPQ-JGVFFNPUSA-N	C[C@H]1CCOCC[C@H](C1)O	C8H16O2	AlkEthOH_r1020
126	XZRRQYHZXGVDNR-BQBZGAKWSA-N	C[C@]1(CCCO[C@](O1)(C)O)O	C7H14O4	AlkEthOH_r468
127	OYKRGTWXLMSTPS-ZCFIWIBFSA-N	CC(C)C[C@H](O)OCO	C6H14O3	AlkEthOH_c450
128	USIDPRFHSNNBQX-HTQZYQBOSA-N	C[C@H](C[C@](C)(O)OC(C)C)O	C8H18O3	AlkEthOH_c526
129	PGDWLGMREGRLCC-UHFFFAOYSA-N	CC(C)(C)OC(C)(C)OCO	C8H18O3	AlkEthOH_c181
130	KULFDJOYAIVKMR-CRCLSJGQSA-N	C[C@H]1CO[C@@]1(C)O	C5H10O2	AlkEthOH_r1058
131	OCLNPMBZFAACJK-SECBINFHSA-N	C[C@@H]1CC(CCCCO1)(C)C	C10H20O	AlkEthOH_r778
132	HBNLGCNVBJCBAQ-LURJTMIESA-N	CC[C@@H](O)OC(C)C	C6H14O2	AlkEthOH_c1003
133	PBNTZTJOGLUWHR-UHFFFAOYSA-N	CC1(CCCCCCO1)C	C9H18O	AlkEthOH_r382
134	XOGQCTNLNNGEKO-RNFRBKRXSA-N	C1CC[C@@H](O[C@H](CC1)O)O	C7H14O3	AlkEthOH_r47
135	IBIQPEAJYSLGNV-UHFFFAOYSA-N	CC(C)OC(C)(C)CC(C)(C)O	C10H22O2	AlkEthOH_c507
136	UJQZTMFRMLEYQN-LURJTMIESA-N	C[C@H]1CCCOC1	C6H12O	AlkEthOH_r965
137	CZUYBDLCGSIFRB-SECBINFHSA-N	C[C@@H]1CCCCOCC(O1)(C)C	C10H20O2	AlkEthOH_r942
138	VNCMMEXXFPOSDS-SSDOTTSWSA-N	CCC[C@](C)(COC)O	C7H16O2	AlkEthOH_c1059
139	KTYGWTKVEBNJTR-PHDIDXHHSA-N	C[C@@]1(CCOCO[C@H](O1)O)O	C6H12O5	AlkEthOH_r581
140	KNACVESXMPHLNM-JTQLQIEISA-N	CCC[C@@](C)(CC(C)(C)C)O	C10H22O	AlkEthOH_c1049
141	DROLNFHFVAFSPI-PHDIDXHHSA-N	C[C@]1(CCO[C@H](C1)O)O	C6H12O3	AlkEthOH_r515
142	BJWJBXFFRHVIQT-MRVPVSSYSA-N	CC1([C@@H](CCCCCO1)O)C	C9H18O2	AlkEthOH_r185
143	MTRACOJFUBKEIP-RNFRBKRXSA-N	C[C@H](O)O[C@](C)(O)OC(C)C	C7H16O4	AlkEthOH_c537
144	RPUJTMFKJTXSHW-SCSAIBSYSA-N	C[C@H](O)OCOC	C4H10O3	AlkEthOH_c894
145	CXIXEMXKCTZXTQ-ZETCQYMHSA-N	CC(C)C[C@H](CCO)O	C7H16O2	AlkEthOH_c439
146	OEMYYOQSAWJOES-LURJTMIESA-N	C[C@H]1CCOCOC1	C6H12O2	AlkEthOH_r1043
147	KPPWZEMUMPFHEX-SYDPRGILSA-N	C[C@@H]1C[C@@H](O1)C	C5H10O	AlkEthOH_r810
148	LIFIIMUHAISNPM-LURJTMIESA-N	CC1(CCCO[C@@H](O1)O)C	C7H14O3	AlkEthOH_r469
149	IVAGOJQDJFWIRT-PHDIDXHHSA-N	C[C@@H]1CC[C@H]1C	C6H12	AlkEthOH_r848
150	YNMGNVQVFLZJEY-KNVOCYPGSA-N	C[C@]1(CC[C@](C1)(C)O)O	C7H14O2	AlkEthOH_r295
151	WGWZUOZLWPGFTC-RFZPGFLSSA-N	C[C@@]1([C@@H](OCCO1)O)O	C5H10O4	AlkEthOH_r217
152	VWKGNRGOZFWLMW-SCSAIBSYSA-N	C[C@@](CO)(O)OCO	C4H10O4	AlkEthOH_c764
153	YWMLCWQXNCOXLK-UHFFFAOYSA-N	CCCOC(C)(C)O	C6H14O2	AlkEthOH_c1146
154	PHTQWCKDNZKARW-UHFFFAOYSA-N	CC(C)CCO	C5H12O	AlkEthOH_c466
155	SGVUHPSBDNVHKL-OCAPTIKFSA-N	C[C@@H]1CCC[C@@H](C1)C	C8H16	AlkEthOH_r852
156	VVNWGMADQIFKOH-RXMQYKEDSA-N	CC1(OCC[C@@H](O1)O)C	C6H12O3	AlkEthOH_r685
157	SQCHVEOZUBMYAQ-UHFFFAOYSA-N	C1CCOC(OC1)O	C5H10O3	AlkEthOH_r83
158	VEZXTHNYQUDOGT-SECBINFHSA-N	C[C@]1(CCCCCOCC1)O	C9H18O2	AlkEthOH_r408
159	NKDDWNXOKDWJAK-UHFFFAOYSA-N	COCOC	C3H8O2	AlkEthOH_c1299
160	XPFCZYUVICHKDS-UHFFFAOYSA-N	CC(C)(CCO)O	C5H12O2	AlkEthOH_c218
161	LFPMIOINJQCYRV-PHDIDXHHSA-N	C[C@@H]1[C@](CCO1)(C)O	C6H12O2	AlkEthOH_r749
162	DNYZBOHZSJUZFD-UHFFFAOYSA-N	CC1(CCCCCOC1)C	C9H18O	AlkEthOH_r403
163	DZGMCAMLBYXVOE-RQJHMYQMSA-N	C[C@@]1(CCOC[C@@](O1)(C)O)O	C7H14O4	AlkEthOH_r535
164	ZCNBCGXDJAVTRT-DTWKUNHWSA-N	C[C@@H](C[C@@](C)(CC(C)C)O)O	C9H20O2	AlkEthOH_c394
165	AQSPEJMSYRLHMZ-YUMQZZPRSA-N	C[C@@H]([C@](C)(CC(C)C)O)O	C8H18O2	AlkEthOH_c363
166	IJLWEMUMGKKJCD-ZCFIWIBFSA-N	C[C@]1(COC1(C)C)O	C6H12O2	AlkEthOH_r199
167	DNIAPMSPPWPWGF-GSVOUGTGSA-N	C[C@H](CO)O	C3H8O2	AlkEthOH_c772
168	PLKBGYHRDLFNFP-UHFFFAOYSA-N	CC1(CCCCCO1)C	C8H16O	AlkEthOH_r388
169	AIQOKYGLKGGWOI-ZETCQYMHSA-N	C[C@@H](C(C)(C)C(C)(C)C)O	C9H20O	AlkEthOH_c49
170	DFOXKPDFWGNLJU-RXMQYKEDSA-N	C[C@H](C(C)(C)C)O	C6H14O	AlkEthOH_c54
171	FVVODUIUGOVTOJ-SSDOTTSWSA-N	C[C@@]1(COCOCCCO1)O	C7H14O4	AlkEthOH_r672
172	IFYKMLODEWURCO-VHSXEESVSA-N	C[C@H]1CCCCCO[C@@H](C1)C	C10H20O	AlkEthOH_r910
173	VMPUAIZSESMILD-UHFFFAOYSA-N	CC(C)(CO)OC	C5H12O2	AlkEthOH_c231
174	GUVYMUAZCMZDPM-CRCLSJGQSA-N	C[C@H]1C[C@@H](OC1)O	C5H10O2	AlkEthOH_r815
175	UYRRLCWKYUNLBW-UHFFFAOYSA-N	CC(C)(C)CCOCO	C7H16O2	AlkEthOH_c170
176	MTHSVFCYNBDYFN-UHFFFAOYSA-N	C(COCCO)O	C4H10O3	AlkEthOH_c27
177	MADLTPOPQIARAP-UHFFFAOYSA-N	CC1CC(C1)(C)C	C7H14	AlkEthOH_r771
178	AMQJEAYHLZJPGS-UHFFFAOYSA-N	CCCCCO	C5H12O	AlkEthOH_c1135
179	VBZDXGATDYLXEZ-YFKPBYRVSA-N	C[C@@H](CO)COC	C5H12O2	AlkEthOH_c771
180	HHAPGMVKBLELOE-UHFFFAOYSA-N	CC(C)COCCO	C6H14O2	AlkEthOH_c485
181	AZIYGCWVWWZHMB-DTORHVGOSA-N	C[C@@]1(CCCCC[C@@](O1)(C)O)O	C9H18O3	AlkEthOH_r351
182	GFZPMYZLALZOCD-ZCFIWIBFSA-N	C1C[C@@H](OCCOC1)O	C6H12O3	AlkEthOH_r30
183	AIFXVQLAJRACDF-PHDIDXHHSA-N	C[C@@]1(COCC[C@@H](O1)O)O	C6H12O4	AlkEthOH_r611
184	DCBLTYZAUIEBCX-ZCFIWIBFSA-N	CC(C)[C@@H](CCO)O	C6H14O2	AlkEthOH_c341
185	HGDVHRITTGWMJK-UHFFFAOYSA-N	CC(C)CCCC(C)(C)O	C9H20O	AlkEthOH_c458
186	IDEOPBXRUBNYBN-BYPYZUCNSA-N	C[C@@H](C(C)(C)O)O	C5H12O2	AlkEthOH_c64
187	BSKIALOWPFQRDA-LURJTMIESA-N	CC1(CCOCO[C@@H](O1)O)C	C7H14O4	AlkEthOH_r580
188	IEUKXRQBSYHLBT-UHFFFAOYSA-N	CC1(OCCCCOC(O1)(C)C)C	C10H20O3	AlkEthOH_r704
189	WMCFZZBLEQVGGO-RXMQYKEDSA-N	CC(C)(C)O[C@H](CO)O	C6H14O3	AlkEthOH_c187
190	JTXRXDYQCCSNJV-IUYQGCFVSA-N	C[C@@]1([C@H](CO1)O)O	C4H8O3	AlkEthOH_r201
191	AMCCEHOFRKAUOA-YFKPBYRVSA-N	CC1(C[C@H](OC1)O)C	C6H12O2	AlkEthOH_r264
192	MKRVGNGLIGBXRA-MRVPVSSYSA-N	CC(C)C[C@@](C)(CCO)O	C8H18O2	AlkEthOH_c396
193	UDEKCKABZJKCKG-UHFFFAOYSA-N	C1CCCCC(CCC1)O	C9H18O	AlkEthOH_r59
194	VNKYTQGIUYNRMY-UHFFFAOYSA-N	CCCOC	C4H10O	AlkEthOH_c1144
195	XTDQDBVBDLYELW-ZETCQYMHSA-N	CC[C@H](C)C(C)(C)C	C8H18	AlkEthOH_c962
196	CGUGMEKFVSBFCZ-SCSAIBSYSA-N	CC1(C[C@@H](O1)O)C	C5H10O2	AlkEthOH_r259
197	FRKCZFUUIQCQPC-UHFFFAOYSA-N	CC(C)OC(C)(C)O	C6H14O2	AlkEthOH_c514
198	IMCKWJBTNSOEGO-WHFBIAKZSA-N	C[C@H]1OCCO[C@@H](O1)O	C5H10O4	AlkEthOH_r1146
199	BCZNAIVXIQUVHM-RNFRBKRXSA-N	C[C@@H]1CCOCO[C@@](O1)(C)O	C7H14O4	AlkEthOH_r1040
200	ZQLZYWINKDSYDA-MRVPVSSYSA-N	C[C@@]1(COCCCCCO1)O	C8H16O3	AlkEthOH_r628
201	GYZMNNQUSLUCLP-UHFFFAOYSA-N	C1CCOCCOC1	C6H12O2	AlkEthOH_r97
202	FTJHKFXJLNIKGN-UOWFLXDJSA-N	C[C@H]([C@H](O)O[C@H](C)O)O	C5H12O4	AlkEthOH_c123
203	LFQSCWFLJHTTHZ-UHFFFAOYSA-N	CCO	C2H6O	AlkEthOH_c1162
204	SMYREFDDLSTNKQ-ZETCQYMHSA-N	C1CCCO[C@@H](CC1)O	C7H14O2	AlkEthOH_r65
205	OWVMVOKHTHLMNX-YUMQZZPRSA-N	C[C@]1([C@@](OCCCCO1)(C)O)O	C8H16O4	AlkEthOH_r210
206	VLKZOEOYAKHREP-UHFFFAOYSA-N	CCCCCC	C6H14	AlkEthOH_c1126
207	WCVRQHFDJLLWFE-RXMQYKEDSA-N	CCC[C@H](CO)O	C5H12O2	AlkEthOH_c1107
