	Unnamed: 0	InChI_keys	SMILES_strings	Molecular_formulas	AlkEthOH_ID
893	1296	VAAOLECQUXVEBY-WDSKDSINSA-N	C[C@@H](O)OC(C)(C)O[C@@H](C)O	C7H16O4	AlkEthOH_c841
892	242	FHQUDZUTAZYJRH-DTWKUNHWSA-N	C[C@@H](C[C@@H](C)O)CC(C)(C)C	C10H22O	AlkEthOH_c663
891	1760	KTBXQHTYHNEJIZ-VXNVDRBHSA-N	C[C@H](C[C@](C)(CC(C)(C)O)O)O	C9H20O3	AlkEthOH_c636
890	1784	BGZMJYSMGLKBMB-WDSKDSINSA-N	C[C@@H](O)O[C@@H](CC(C)(C)O)O	C7H16O4	AlkEthOH_c868
889	779	DCROARXTEKJYGP-VDTYLAMSSA-N	C[C@H](O)O[C@@](C)(C(C)(C)O)O	C7H16O4	AlkEthOH_c821
888	1163	MOSYFOVTNRSUNJ-SVRRBLITSA-N	C[C@H](O)O[C@@](C)(C(C)(C)C)O	C8H18O3	AlkEthOH_c820
24	1776	BPDIHEGWJJPPSG-UHFFFAOYSA-N	CCCOCO	C4H10O2	AlkEthOH_c1160
23	937	LYCAIKOWRPUZTN-UHFFFAOYSA-N	C(CO)O	C2H6O2	AlkEthOH_c24
22	1086	JDFDHBSESGTDAL-UHFFFAOYSA-N	COCCCO	C4H10O2	AlkEthOH_c1295
21	410	CHCLGECDSSWNCP-UHFFFAOYSA-N	CCOCOC	C4H10O2	AlkEthOH_c1283
20	178	AMQJEAYHLZJPGS-UHFFFAOYSA-N	CCCCCO	C5H12O	AlkEthOH_c1135
19	4	NNPPMTNAJDCUHE-UHFFFAOYSA-N	CC(C)C	C4H10	AlkEthOH_c258
18	1190	KFZMGEQAYNKOFK-UHFFFAOYSA-N	CC(C)O	C3H8O	AlkEthOH_c488
17	30	LRHPLDYGYMQRHN-UHFFFAOYSA-N	CCCCO	C4H10O	AlkEthOH_c1137
